Id,Title,Filename,PageStart,PageEnd,PageStartPdf,PageEndPdf,SplitBook
20,"How Forty-Two Alcoholics Recovered From Their Malady
p. 165-166",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories.pdf,165,166,1,2,TRUE
21,"PART I - Pioneers of A.A.
p. 169",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,169,169,1,1,TRUE
22,"Doctor Bob's Nightmare
p. 171-181",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,171,181,2,12,TRUE
23,"(1) Alcoholic Anonymous Number Three
p. 182-192",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,182,192,13,23,TRUE
24,"(2) Gratitude in Action
p. 193-199",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,193,199,24,30,TRUE
25,"(3) Women Suffer Too
p. 200-207",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,200,207,31,38,TRUE
26,"(4) Our Southern Friend
p. 208-218",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,208,218,39,49,TRUE
27,"(5) The Vicious Cycle
p. 219-231",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,219,231,50,62,TRUE
28,"(6) Jim's Story
p. 232-245",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,232,245,63,76,TRUE
29,"(7) The Man Who Mastered Fear
p. 246-257",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,246,257,77,88,TRUE
30,"(8) He Sold Himself Short
p. 258-267",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,258,267,89,98,TRUE
31,"(9) The Keys of The Kingdom
p. 268-276",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partI.pdf,268,276,99,107,TRUE
32,"PART II - They Stopped in Time
p. 277-279",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,277,279,1,3,TRUE
33,"(1) The Missing Link
p. 281-288",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,281,288,5,12,TRUE
34,"(2) Fear of Fear
p. 289-294",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,289,294,13,18,TRUE
35,"(3) The Housewife Who Drank At Home
p. 295-300",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,295,300,19,24,TRUE
36,"(4) Physician, Heal Thyself!
p. 301-308",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,301,308,25,32,TRUE
37,"(5) My Chance to Live
p. 309-318",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,309,318,33,42,TRUE
38,"(6) Student Of Life
p. 319-327",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,319,327,43,51,TRUE
39,"(7) Crossing the River of Denial
p. 328-337",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,328,337,52,61,TRUE
40,"(8) Because I'm an Alcoholic
p. 338-347",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,338,347,62,71,TRUE
41,"(9) It Might Have Been Worse
p. 348-358",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,348,358,72,82,TRUE
42,"(10) Tightrope
p. 359-368",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,359,368,83,92,TRUE
43,"(11) Flooded with Feeling
p. 369-374",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,369,374,93,98,TRUE
44,"(12) Winner Takes All
p. 375-381",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,375,381,99,105,TRUE
45,"(13) Me an Alcoholic?
p. 382-387",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,382,387,106,111,TRUE
46,"(14) The Perpetual Quest
p. 368-397",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,368,397,112,121,TRUE
47,"(15) A Drunk, Like You
p. 398-406",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,398,406,122,130,TRUE
48,"(16) Acceptance was the Answer
p. 407-420",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,407,420,131,144,TRUE
49,"(17) Window of Opportunity
p. 421-431",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partII.pdf,421,431,145,155,TRUE
50,"PART III - They Lost Nearly All
p. 433-434",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,433,434,1,2,TRUE
51,"(1) My Bottle, My Resentments, and Me
p. 437-445",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,437,445,3,11,TRUE
52,"(2) He Lived Only to Drink
p. 446-451",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,446,451,12,17,TRUE
53,"(3) Safe Haven
p. 452-457",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,452,457,18,23,TRUE
54,"(4) Listening to the Wind
p. 458-469",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,458,469,24,35,TRUE
55,"(5) Twice Gifted
p. 470-475",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,470,475,36,41,TRUE
56,"(6) Building a New Life
p. 476-485",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,476,485,42,51,TRUE
57,"(7) On the Move
p. 486-493",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,486,493,52,59,TRUE
58,"(8) A Vision of Recovery
p. 494-500",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,494,500,60,66,TRUE
59,"(9) Gutter Bravado
p. 501-511",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,501,511,67,77,TRUE
60,"(10) Empty on the Inside
p. 512-521",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,512,521,78,87,TRUE
61,"(11) Grounded
p. 522-530",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,522,530,88,96,TRUE
62,"(12) Another Chance
p. 531-534",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,531,534,97,100,TRUE
63,"(13) A Late Start
p. 535-543",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,535,543,101,109,TRUE
64,"(14) Freedom from Bondage
p. 544-552",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,544,552,110,118,TRUE
65,"(15) A.A. Taught Him to Handle Sobriety
p. 553-559",https://www.aa.org/sites/default/files/2021-11/en_bigbook_personalstories_partIII.pdf,553,559,119,125,TRUE
66,"i. The A.A. Tradition
p. 561-566",https://www.aa.org/sites/default/files/2021-11/en_bigbook_appendicei.pdf,561,566,1,6,TRUE
67,"ii. Spiritual Experience
p. 567-568",https://www.aa.org/sites/default/files/2021-11/en_bigbook_appendiceii.pdf,567,568,1,2,TRUE
68,"iii. The Medical View On A.A.
p. 569-570",https://www.aa.org/sites/default/files/2021-11/en_bigbook_appendiceiii.pdf,569,570,1,2,TRUE
69,"iv. The Lasker Award
p. 571",https://www.aa.org/sites/default/files/2021-11/en_bigbook_appendiceiv.pdf,571,571,1,1,TRUE
70,"v. The Religious View on A.A.
p. 572",https://www.aa.org/sites/default/files/2021-11/en_bigbook_appendicev.pdf,572,572,1,1,TRUE
71,"vi. How to Get in Touch With A.A.
p. 573",https://www.aa.org/sites/default/files/2021-11/en_bigbook_appendicevi.pdf,573,573,1,1,TRUE
72,"vii. Twelve Concepts (Short Form)
p. 574-575",https://www.aa.org/sites/default/files/2021-11/en_bigbook_appendicevii_.pdf,574,575,1,2,TRUE
